"","sample","condition"
"TCGA-02-0047-01A-01R-1849-01","TCGA-02-0047-01A-01R-1849-01","Tumor"
"TCGA-02-0055-01A-01R-1849-01","TCGA-02-0055-01A-01R-1849-01","Tumor"
"TCGA-02-2483-01A-01R-1849-01","TCGA-02-2483-01A-01R-1849-01","Tumor"
"TCGA-02-2485-01A-01R-1849-01","TCGA-02-2485-01A-01R-1849-01","Tumor"
"TCGA-02-2486-01A-01R-1849-01","TCGA-02-2486-01A-01R-1849-01","Tumor"
"TCGA-04-1331-01A-01R-1569-13","TCGA-04-1331-01A-01R-1569-13","Tumor"
"TCGA-04-1332-01A-01R-1564-13","TCGA-04-1332-01A-01R-1564-13","Tumor"
"TCGA-04-1337-01A-01R-1564-13","TCGA-04-1337-01A-01R-1564-13","Tumor"
"TCGA-04-1338-01A-01R-1564-13","TCGA-04-1338-01A-01R-1564-13","Tumor"
"TCGA-04-1341-01A-01R-1564-13","TCGA-04-1341-01A-01R-1564-13","Tumor"
"TCGA-04-1343-01A-01R-1564-13","TCGA-04-1343-01A-01R-1564-13","Tumor"
"TCGA-04-1347-01A-01R-1564-13","TCGA-04-1347-01A-01R-1564-13","Tumor"
"TCGA-04-1348-01A-01R-1565-13","TCGA-04-1348-01A-01R-1565-13","Tumor"
"TCGA-04-1350-01A-01R-1565-13","TCGA-04-1350-01A-01R-1565-13","Tumor"
"TCGA-04-1356-01A-01R-1569-13","TCGA-04-1356-01A-01R-1569-13","Tumor"
"TCGA-04-1357-01A-01R-1565-13","TCGA-04-1357-01A-01R-1565-13","Tumor"
"TCGA-04-1361-01A-01R-1565-13","TCGA-04-1361-01A-01R-1565-13","Tumor"
"TCGA-04-1362-01A-01R-1565-13","TCGA-04-1362-01A-01R-1565-13","Tumor"
"TCGA-04-1364-01A-01R-1565-13","TCGA-04-1364-01A-01R-1565-13","Tumor"
"TCGA-04-1365-01A-01R-1565-13","TCGA-04-1365-01A-01R-1565-13","Tumor"
"TCGA-04-1514-01A-01R-1566-13","TCGA-04-1514-01A-01R-1566-13","Tumor"
"TCGA-04-1517-01A-01R-1565-13","TCGA-04-1517-01A-01R-1565-13","Tumor"
"TCGA-04-1519-01A-01R-1565-13","TCGA-04-1519-01A-01R-1565-13","Tumor"
"TCGA-04-1530-01A-02R-1569-13","TCGA-04-1530-01A-02R-1569-13","Tumor"
"TCGA-04-1536-01A-01R-1566-13","TCGA-04-1536-01A-01R-1566-13","Tumor"
"TCGA-04-1542-01A-01R-1566-13","TCGA-04-1542-01A-01R-1566-13","Tumor"
"TCGA-04-1648-01A-01R-1567-13","TCGA-04-1648-01A-01R-1567-13","Tumor"
"TCGA-04-1651-01A-01R-1567-13","TCGA-04-1651-01A-01R-1567-13","Tumor"
"TCGA-04-1655-01A-01R-1566-13","TCGA-04-1655-01A-01R-1566-13","Tumor"
"TCGA-05-4244-01A-01R-1107-07","TCGA-05-4244-01A-01R-1107-07","Tumor"
"TCGA-05-4249-01A-01R-1107-07","TCGA-05-4249-01A-01R-1107-07","Tumor"
"TCGA-05-4250-01A-01R-1107-07","TCGA-05-4250-01A-01R-1107-07","Tumor"
"TCGA-05-4382-01A-01R-1206-07","TCGA-05-4382-01A-01R-1206-07","Tumor"
"TCGA-05-4384-01A-01R-1755-07","TCGA-05-4384-01A-01R-1755-07","Tumor"
"TCGA-05-4389-01A-01R-1206-07","TCGA-05-4389-01A-01R-1206-07","Tumor"
"TCGA-05-4390-01A-02R-1755-07","TCGA-05-4390-01A-02R-1755-07","Tumor"
"TCGA-05-4395-01A-01R-1206-07","TCGA-05-4395-01A-01R-1206-07","Tumor"
"TCGA-05-4396-01A-21R-1858-07","TCGA-05-4396-01A-21R-1858-07","Tumor"
"TCGA-05-4397-01A-01R-1206-07","TCGA-05-4397-01A-01R-1206-07","Tumor"
"TCGA-05-4398-01A-01R-1206-07","TCGA-05-4398-01A-01R-1206-07","Tumor"
"TCGA-05-4402-01A-01R-1206-07","TCGA-05-4402-01A-01R-1206-07","Tumor"
"TCGA-05-4403-01A-01R-1206-07","TCGA-05-4403-01A-01R-1206-07","Tumor"
"TCGA-05-4405-01A-21R-1858-07","TCGA-05-4405-01A-21R-1858-07","Tumor"
"TCGA-05-4410-01A-21R-1858-07","TCGA-05-4410-01A-21R-1858-07","Tumor"
"TCGA-05-4415-01A-22R-1858-07","TCGA-05-4415-01A-22R-1858-07","Tumor"
"TCGA-05-4417-01A-22R-1858-07","TCGA-05-4417-01A-22R-1858-07","Tumor"
