"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0007088","GO:0007088","regulation of mitotic nuclear division","50/2655","119/18860",0.420168067226891,2.98469670354017,8.7910008895691,8.17904976292908e-14,5.06937504306344e-10,3.70123525587707e-10,"UBE2C/CDC20/CCNB1/PLK1/BIRC5/AURKB/NUSAP1/CDCA8/ZWINT/TOM1L2/NUF2/MAD2L1/TRIP13/PKMYT1/NEK2/AURKA/BUB1/DLGAP5/TTK/NDC80/SPC25/CENPF/RCC1/BUB1B/CDC25C/MKI67/SPC24/ESPL1/SKA3/CAV2/KNTC1/SKA1/CHEK1/PDGFB/APC/XRCC3/IGF2/ZWILCH/FBXO5/IL1B/MAD2L2/KIF20B/OBSL1/BORA/EDN1/PRAP1/DUSP1/PDGFRB/BMP7/CCDC8",50
"GO:0006935","GO:0006935","chemotaxis","125/2655","474/18860",0.263713080168776,1.87330647532321,7.79433914154965,7.46352179560137e-13,1.59013235322348e-09,1.16098214814758e-09,"MDK/AGER/SEMA3G/DOCK4/S1PR1/SLIT2/PPM1F/CDH13/PTK2B/ECSCR/BMPR2/DAPK2/SPN/MYCBP2/ENPP2/HSPB1/SEMA6B/GAB1/DUSP3/CXCL2/HBEGF/CCL23/APOA1/ENG/ANGPT1/PDGFB/PPIA/SEMA5A/SEMA5B/SFTPD/CX3CL1/EDNRB/EDN2/SCRIB/PREX1/DEFB1/NOVA2/WNT3A/MAPK1/CTSG/ALOX5/IL16/MIR223/MPP1/PIP5K1C/ARTN/PLXNA3/S100A12/FLRT3/HMGB2/IL1B/NEDD9/P2RY12/FPR2/CXCL3/JAM3/CCRL2/IL34/CYSLTR1/IL6/SEMA4B/SLIT3/ROBO2/SPI1/ANO6/FGF18/MAP2K1/DOCK2/C5AR1/BIN2/NR4A1/FLT1/NCKAP1L/TPBG/FGF1/EDN1/PPBP/PLP2/KDR/MMP28/CXCL1/CH25H/PTAFR/ARHGEF16/DUSP1/EGR3/F2RL1/CMKLR1/CX3CR1/SEMA6A/ADAM8/RAC3/LEF1/PDE4B/LGR6/CAMK1D/PLA2G1B/ZNF580/PDGFRB/PLAU/THBS1/PERP/CCR1/SEMA3A/FLRT2/SERPIND1/CXCL10/CMTM7/PGF/CXCL12/FGF7/FGF2/CCL28/SCG2/RAC2/CCL24/SEMA4D/CCL18/CCL21/CCR2/GREM1/FPR1/PADI2/NTRK3/CXCL13",125
"GO:0050673","GO:0050673","epithelial cell proliferation","129/2655","496/18860",0.26008064516129,1.84750318935666,7.74222186835887,9.33731078538161e-13,1.59013235322348e-09,1.16098214814758e-09,"MDK/TEK/CDKN2A/RASGRF1/TIE1/CAV1/CDH13/BCL2L2/PPP1R16B/IQGAP3/KLK8/BMPR2/HMGN1/MEF2C/SIDT2/FLCN/TNFSF12/CD34/NME1/ZEB2/ACVRL1/HMGA2/CAV2/APOA1/ENG/SIX4/WDR77/MMRN2/CDK4/IGFBP3/PDGFB/KLF9/PTPRM/SEMA5A/UHRF1/EDNRB/FBXW7/TFAP2C/LGR4/MIR492/ESR1/ZNF703/NR4A3/TGFBR3/FLT4/AKT3/MTA3/HSF1/WNT3A/MAPK1/SIX1/IGF2/RTN4/LIMS2/ALOX5/VSTM4/HLX/GATA2/SMO/PHB2/HES1/HMGB2/FUT2/BAK1/DLL4/VASH1/MMP12/OVOL1/ZFP36/IL6/MARVELD3/MAP2K1/BTK/OVOL2/DAB2/CDH3/C5AR1/NR4A1/LAMA5/FLT1/BTRC/FGF1/ATOH8/KDR/FERMT1/RPS6KA1/LIPA/COL4A3/EGFL7/LOXL2/EGR3/EPPK1/CEBPB/FST/NCF1/CDKN1A/TNFAIP3/NFKBIZ/PPARG/FGL1/PRKX/SULF1/WNT2/MCC/ZEB1/BMP6/MYCN/ZNF580/OSR1/PRKCA/THBS1/HOXA5/CLDN18/CXCL12/FGF7/FGF2/OSR2/ITGA4/SCG2/CCL24/SFRP1/CEACAM1/LGR5/GPC3/HPN/BMP5/SERPINB5/FGFBP1/APOH",129
"GO:0042330","GO:0042330","taxis","125/2655","476/18860",0.262605042016807,1.86543543971261,7.74078885900861,1.02622288042819e-12,1.59013235322348e-09,1.16098214814758e-09,"MDK/AGER/SEMA3G/DOCK4/S1PR1/SLIT2/PPM1F/CDH13/PTK2B/ECSCR/BMPR2/DAPK2/SPN/MYCBP2/ENPP2/HSPB1/SEMA6B/GAB1/DUSP3/CXCL2/HBEGF/CCL23/APOA1/ENG/ANGPT1/PDGFB/PPIA/SEMA5A/SEMA5B/SFTPD/CX3CL1/EDNRB/EDN2/SCRIB/PREX1/DEFB1/NOVA2/WNT3A/MAPK1/CTSG/ALOX5/IL16/MIR223/MPP1/PIP5K1C/ARTN/PLXNA3/S100A12/FLRT3/HMGB2/IL1B/NEDD9/P2RY12/FPR2/CXCL3/JAM3/CCRL2/IL34/CYSLTR1/IL6/SEMA4B/SLIT3/ROBO2/SPI1/ANO6/FGF18/MAP2K1/DOCK2/C5AR1/BIN2/NR4A1/FLT1/NCKAP1L/TPBG/FGF1/EDN1/PPBP/PLP2/KDR/MMP28/CXCL1/CH25H/PTAFR/ARHGEF16/DUSP1/EGR3/F2RL1/CMKLR1/CX3CR1/SEMA6A/ADAM8/RAC3/LEF1/PDE4B/LGR6/CAMK1D/PLA2G1B/ZNF580/PDGFRB/PLAU/THBS1/PERP/CCR1/SEMA3A/FLRT2/SERPIND1/CXCL10/CMTM7/PGF/CXCL12/FGF7/FGF2/CCL28/SCG2/RAC2/CCL24/SEMA4D/CCL18/CCL21/CCR2/GREM1/FPR1/PADI2/NTRK3/CXCL13",125
"GO:0042060","GO:0042060","wound healing","120/2655","453/18860",0.264900662251656,1.88174255746374,7.68894001402139,1.55812546737851e-12,1.9314523293624e-09,1.4101855545811e-09,"AGER/PRKCE/VWF/CAV1/MACF1/F8/PEAR1/THBD/CLDN3/PECAM1/ARHGAP24/SLC6A4/DST/DUOX1/CD34/ACVRL1/ADORA2A/HSPB1/SVEP1/GNAQ/WFDC1/STXBP1/HBEGF/ENG/ANGPT1/DSP/PDGFB/PPIA/GPR4/AHNAK/MMRN1/SELP/CX3CL1/EPHB2/JAK2/MYH10/PPP3CA/SCRIB/CLASP2/SH2B3/FKBP10/TFPI2/SCUBE1/WNT3A/CTSG/TLR4/ALOX5/MYLK/GATA2/PRF1/CD36/TSKU/P2RY12/CPB2/IL6ST/DGKZ/MMP12/IL6/ANO6/ARHGEF19/UBASH3B/HBB/PABPC4/TYRO3/NDNF/FGF1/FERMT3/ADRA2C/ALOX15/VIL1/MCAM/EDN1/KDR/SYT11/DDR2/FERMT1/TNFRSF12A/RASA3/VANGL2/EPPK1/F2RL1/CDKN1A/TNFAIP3/SLC11A1/PPARG/F10/RAB3A/KRT6A/PLCG2/PROS1/FGL1/TIMP1/FBLN1/CHMP4C/DCBLD2/CASP1/PLAT/POU2F3/CLDN4/EMILIN2/AQP1/PRKCA/PLAU/THBS1/SERPIND1/PLEK/PHLDB2/ENTPD2/ADTRP/CD44/FGF2/FGB/PLA2G4A/CEACAM1/COMP/SERPINA1/CYP4F11/FOXA2/APOH/C4BPB",120
"GO:1905818","GO:1905818","regulation of chromosome separation","36/2655","76/18860",0.473684210526316,3.36485280999108,8.36149523823963,3.37517763818419e-12,3.48655850024427e-09,2.54559450290418e-09,"UBE2C/CDC20/CCNB1/PLK1/BIRC5/AURKB/CDCA8/ZWINT/NUF2/MAD2L1/TRIP13/BUB1/DLGAP5/TTK/NDC80/SPC25/CENPF/BUB1B/SPC24/NCAPH/ESPL1/SKA3/NCAPG/KNTC1/SKA1/NCAPG2/NCAPD2/APC/SMC4/XRCC3/ZWILCH/FBXO5/MAD2L2/MAPK15/PRAP1/DUSP1",36
"GO:0072001","GO:0072001","renal system development","95/2655","334/18860",0.284431137724551,2.02047881637854,7.61646538510173,4.54596037508202e-12,3.81956285199356e-09,2.78872653329942e-09,"TEK/WFS1/SLIT2/EZH2/FOXF1/SOX4/CENPF/PECAM1/PAX8/MEF2C/CD24/FLCN/CD34/SGPL1/SIX4/ANGPT1/TFAP2A/RBP4/CAT/ACE/HOXB7/PDGFB/GPR4/ITGA8/WT1/STRA6/EDNRB/PRICKLE1/SMAD7/LGR4/PPP3CA/HELLS/LRRK2/TCF21/KANK2/ASS1/GCNT3/SIX1/SOX17/SMO/NPNT/ZBTB16/HES1/WNT6/BMP2/OVOL1/ROBO2/LHX1/EPCAM/PLCE1/EDNRA/AGTR2/LAMA5/FGF1/EDN1/COL4A3/ADAMTS1/ODC1/VANGL2/HEYL/MAGI2/PRKX/SULF1/SIX2/TIPARP/EMX2/MME/BMP6/CTSH/DCHS1/EPHA4/LRP4/PDGFRB/OSR1/BMP7/AQP1/DACT2/COL4A4/KCNJ8/MMP9/WNT11/FGF2/EGR1/OSR2/SFRP1/BASP1/FOXJ1/LGR5/GPC3/IRX2/LRP2/GREM1/MMP17/HPGD/PCSK9",95
"GO:0031589","GO:0031589","cell-substrate adhesion","102/2655","369/18860",0.276422764227642,1.96359070935342,7.56645865062399,4.93005853758446e-12,3.81956285199356e-09,2.78872653329942e-09,"MDK/TEK/PRKCE/PPM1F/THSD1/PEAK1/CDKN2A/VWF/FOXF1/MACF1/CDH13/PTK2B/PECAM1/DLC1/CASS4/CD34/MYADM/LYVE1/ACVRL1/SVEP1/DUSP3/APOA1/RCC2/ANGPT1/EMP2/HOXD3/PDGFB/UTRN/ITGA8/PIK3R1/LIMCH1/PTPN1/CX3CL1/JAK2/PKP2/PREX1/CLASP2/MINK1/ABI3BP/LIMS2/LYPD3/COL1A1/NPNT/LPXN/CD36/ITGAL/NEDD9/ITGB4/THBS3/MMP12/JAM3/GPM6B/BCAM/EPHB3/DAB2/NTN4/LAMA5/RHOD/TYRO3/ITGAX/JUP/MSLN/NDNF/SPOCK1/FERMT3/ALOX15/EPHA1/KDR/RADIL/FERMT1/TNFRSF12A/ECM2/FAM107A/ITGAM/SPRY4/PRKX/SORBS1/RAC3/FBLN1/LEF1/ITGA11/SIGLEC1/PLAU/THBS1/ITGB8/ATP1B2/SPOCK2/FBLN5/PHLDB2/CORO2B/CD44/CCL28/EDIL3/FGB/ITGA4/RAC2/SFRP1/APOD/CCL21/GREM1/ITGBL1/AGR2",102
"GO:0045839","GO:0045839","negative regulation of mitotic nuclear division","30/2655","57/18860",0.526315789473684,3.73872534443453,8.38184085953036,6.99902069489282e-12,4.81999225188286e-09,3.51915672132681e-09,"CDC20/CCNB1/PLK1/BIRC5/AURKB/CDCA8/ZWINT/TOM1L2/NUF2/MAD2L1/TRIP13/BUB1/TTK/NDC80/SPC25/CENPF/BUB1B/SPC24/SKA3/KNTC1/SKA1/CHEK1/APC/XRCC3/ZWILCH/FBXO5/MAD2L2/PRAP1/DUSP1/BMP7",30
"GO:0140014","GO:0140014","mitotic nuclear division","83/2655","281/18860",0.295373665480427,2.09820991749938,7.50748424029274,1.22461689429106e-11,7.590175510816e-09,5.54171371427082e-09,"UBE2C/TPX2/CDC20/CCNB1/PLK1/BIRC5/MYBL2/AURKB/KIF2C/NUSAP1/CDCA8/ZWINT/CDK1/TOM1L2/NUF2/MAD2L1/TRIP13/CDT1/PKMYT1/NEK2/KIF11/AURKA/BUB1/DLGAP5/TTK/KIF23/NDC80/PRC1/SPC25/CENPF/RCC1/BUB1B/RACGAP1/CDC25C/MKI67/SPC24/KIF18B/NCAPH/KIF4A/SPAG5/KIFC1/UBE2S/CENPK/RANBP1/ESPL1/SKA3/NCAPG/CAV2/KNTC1/SKA1/CHEK1/CHEK2/PDGFB/NCAPG2/NCAPD2/UHRF1/APC/KIF22/PRICKLE1/BANF1/KIF18A/ARHGEF10/CLASP2/SMC4/XRCC3/IGF2/ZWILCH/FBXO5/IL1B/MAD2L2/KAT2B/KIF20B/TUBG2/RPL24/OBSL1/BORA/EDN1/PRAP1/DUSP1/CHMP4C/PDGFRB/BMP7/CCDC8",83
