"","category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"hsa05171","Human Diseases","Infectious disease: viral","hsa05171","Coronavirus disease - COVID-19","80/1439","239/9380",0.334728033472803,2.18189642388804,7.87866403420086,1.31374952461686e-12,4.55871085042051e-10,3.11151203198731e-10,"7450/6204/116832/5579/1839/200916/6170/1636/5295/6403/51121/6168/6233/629/1440/6142/1675/6187/6171/6201/6234/5594/6231/7099/6158/6147/6169/3553/6128/3572/5600/6175/5601/3569/6188/730/6193/51311/11224/6167/9641/6227/6156/6165/9636/6235/6191/728/4600/6202/6209/6159/6161/6137/6155/4736/2353/6217/6152/6176/6224/6232/5602/25873/4792/6157/1536/712/5336/6222/6230/4938/834/4312/5578/7097/713/3627/2244/7113",80
"hsa04514","Environmental Information Processing","Signaling molecules and interaction","hsa04514","Cell adhesion molecule (CAM) interaction","55/1439","160/9380",0.34375,2.24070535093815,6.73805036608604,1.49235577184459e-09,2.58923726415037e-07,1.76726341402649e-07,"1003/9074/1365/5175/257194/90952/947/6693/79679/9080/3384/8516/5797/6401/6403/10686/7122/6404/23114/3133/3683/83692/83700/23705/1001/8506/64101/94030/4685/5788/1272/54413/3684/920/58494/5010/4099/3383/1364/6614/3696/137075/6402/51208/3676/923/3122/4684/9071/29126/3127/80380/3118/4897/57863",55
"hsa04110","Cellular Processes","Cell growth and death","hsa04110","Cell cycle","51/1439","158/9380",0.322784810126582,2.10404553091546,5.95763696548645,6.27993970086107e-08,7.26379692066264e-06,4.95784713225874e-06,"991/891/5347/9232/9133/9212/983/4171/1029/890/4085/9319/81620/9088/113130/699/7272/10403/8318/701/995/1875/898/5111/990/9700/4173/23594/1111/10926/1869/11200/1019/1663/7533/4176/5526/4998/4175/1017/6502/4616/26271/10459/7532/1032/7157/1031/1026/8317/8900",51
"hsa05166","Human Diseases","Infectious disease: viral","hsa05166","Human T-cell leukemia virus 1 infection","62/1439","224/9380",0.276785714285714,1.8042043085476,5.18571422063543,1.23715828912829e-06,0.000107323481581879,7.32527934352274e-05,"991/9232/9133/1029/890/4085/701/115/898/6777/5902/9700/2114/6513/5532/148327/1111/2113/1869/196883/6929/11200/4215/1019/5295/7048/5530/5567/10000/1017/5594/6416/83660/3133/3683/7417/5601/291/7538/3569/8850/6688/5534/5604/1959/2353/4316/5602/7157/1031/4792/1026/920/111/3383/8900/7850/4487/1958/3122/3127/3118",62
"hsa04670","Organismal Systems","Immune system","hsa04670","Leukocyte transendothelial migration","38/1439","116/9380",0.327586206896552,2.13534303036112,5.23754643752234,1.98177637594743e-06,0.000137535280490752,9.38736178080362e-05,"1003/9074/2185/1365/5175/5579/90952/9080/11069/5295/10686/7122/3683/5600/83692/83700/2770/83593/4688/4478/1536/3684/653361/58494/5336/5010/3383/1364/5578/137075/4689/4318/51208/6387/3676/5880/9071/1496",38
"hsa04310","Environmental Information Processing","Signal transduction","hsa04310","Wnt signaling pathway","50/1439","178/9380",0.280898876404494,1.83101560852964,4.76484891595346,8.37916226187244e-06,0.000484594884144956,0.000330756405073912,"340419/166336/5579/8607/5532/80326/27123/23500/324/144165/55366/5530/11197/5567/4007/89780/64321/81839/1857/818/7091/7475/5601/5534/51701/8945/4316/11211/23401/5602/7157/57216/817/5330/85409/54894/5881/7472/51176/4163/59352/5578/2535/7481/5880/6422/8549/6425/147111/284654",50
"hsa03010","Genetic Information Processing","Translation","hsa03010","Ribosome","59/1439","223/9380",0.26457399103139,1.72460322159447,4.66173038248913,1.04361689302278e-05,0.00051733580268415,0.000353103460045302,"6204/11222/116832/65005/28998/64979/6182/200916/6170/29088/51121/6168/6233/79590/6142/6187/6171/65003/6183/57129/6201/6234/6231/51373/60488/6158/6147/6169/6128/6175/219927/64949/6188/51069/6193/11224/6167/6227/6156/6165/6235/6191/6202/6209/6159/6161/6137/6155/122704/4736/6217/6152/6176/6224/6232/25873/6157/6222/6230",59
"hsa04015","Environmental Information Processing","Signal transduction","hsa04015","Rap1 signaling pathway","56/1439","212/9380",0.264150943396226,1.7218456213041,4.52528588991846,1.83050753296181e-05,0.000793982642422184,0.00054192657225843,"7010/10235/9732/1945/9693/5579/115/5590/801/9771/135/2776/51466/284/196883/11069/5155/5295/9170/2264/22808/808/2324/10000/5594/83660/3683/5584/5600/260425/2770/83593/8817/5604/23566/51196/2321/2775/2246/25780/3791/2261/9863/3684/5330/5881/111/1268/5159/5578/7057/5228/2252/2247/5880/2357",56
"hsa05144","Human Diseases","Infectious disease: parasitic","hsa05144","Malaria","20/1439","50/9380",0.4,2.60736622654621,4.85098672343714,2.09363648520938e-05,0.000807213178186282,0.000550956969791942,"5175/6401/4035/6403/1440/7099/948/3553/3683/7059/3569/3043/2995/3040/3820/3039/3383/7057/7097/1311",20
"hsa04114","Cellular Processes","Cell growth and death","hsa04114","Oocyte meiosis","40/1439","138/9380",0.289855072463768,1.88939581633784,4.48046109123864,2.98754796612183e-05,0.000962802931235444,0.000657153525035568,"991/891/5347/9232/9133/983/4085/9088/6790/699/995/115/898/801/9700/5532/196883/7533/132864/3708/5526/5530/5567/808/1017/5594/26271/818/10459/5600/5534/7532/5604/6196/80315/9985/8945/6195/817/111",40
